Time,Outdoor-Avg Temp,Outdoor-Avg RH,Indoor-Avg Temp,Indoor-Avg RH,Indoor-Avg CO2
3/30/2015 21:15,15.8,90.9,20.7,66.9,417.7
3/30/2015 21:30,15.9,91.2,20.7,66.7,413.8
3/30/2015 21:45,15.9,91.6,20.7,67.2,412.2
3/30/2015 22:00,15.9,92,20.7,66.9,415.5
3/30/2015 22:15,15.9,92.1,20.7,67.4,407.3
3/30/2015 22:30,15.9,92.5,20.7,66.9,403.9
3/30/2015 22:45,15.8,92.6,20.7,67.4,398.2
3/30/2015 23:00,15.9,92.8,20.7,66.8,390.2
3/30/2015 23:15,15.9,92.8,20.7,67.2,387
3/30/2015 23:30,15.8,93,20.7,66.9,381.6
3/30/2015 23:45,15.8,93.2,20.7,67.3,378.8
3/31/2015 0:00,15.8,93.4,20.7,66.8,374.2
3/31/2015 0:15,15.7,93.8,20.7,67.1,371.1
3/31/2015 0:30,15.7,93.9,20.7,67.1,370.3
3/31/2015 0:45,15.7,94.2,20.7,67.2,365.5
3/31/2015 1:00,15.7,94.3,20.7,67.2,363
3/31/2015 1:15,15.6,94.3,20.7,67,361.5
3/31/2015 1:30,15.6,94.6,20.7,67.2,361.3
3/31/2015 1:45,15.6,94.7,20.7,66.8,358.3
3/31/2015 2:00,15.6,94.8,20.7,67.4,356.2
3/31/2015 2:15,15.7,94.7,20.7,67.1,358.8
3/31/2015 2:30,15.8,94.2,20.7,67.4,353.9
3/31/2015 2:45,15.8,94,20.7,67.1,358.2
3/31/2015 3:00,15.7,93.9,20.7,67.6,361.2
3/31/2015 3:15,15.7,93.9,20.7,66.8,363.3
3/31/2015 3:30,15.6,93.8,20.7,67.4,360.8
3/31/2015 3:45,15.6,94,20.7,67.2,359.4
3/31/2015 4:00,15.6,93.9,20.7,67.3,361.9
3/31/2015 4:15,15.5,94,20.7,67.1,358.7
3/31/2015 4:30,15.5,94.1,20.7,67.3,361.2
3/31/2015 4:45,15.5,94,20.7,67.1,360.6
3/31/2015 5:00,15.5,93.9,20.7,67.4,358.6
3/31/2015 5:15,15.4,94,20.7,66.9,357.2
3/31/2015 5:30,15.3,94.3,20.7,67.6,359.9
3/31/2015 5:45,15.3,94.1,20.7,67.1,362.5
3/31/2015 6:00,15.3,94,20.7,67.2,363.9
3/31/2015 6:15,15.5,93.5,20.7,67.3,364.7
3/31/2015 6:30,15.7,92.9,20.7,67.2,366.7
3/31/2015 6:45,16.1,91,20.7,67.5,361.9
3/31/2015 7:00,16.8,88.6,20.7,67.1,362.4
